preprocessing,model,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,mean_roc_auc,std_roc_auc,mean_specificity,std_specificity
raw,naive_bayes,0.6887301587301587,0.09503669180435337,0.7702467790209239,0.08477419910719745,0.8456865031426011,0.04912034546635063,0.7183333333333334,0.1320318423995038,0.7041990740740741,0.09192451587858938,0.5999999999999999,0.1632993161855452
raw,knn,0.7149206349206351,0.038399577977020816,0.8185052627137628,0.028883482379082153,0.7834685867962266,0.02870095548789954,0.8612499999999998,0.06861856122394615,0.5864861111111112,0.10981146638218385,0.2733333333333333,0.15040685563571304
raw,decision_tree,0.7461904761904761,0.10448122573272312,0.8320957361650214,0.07580289721221735,0.8200873469829505,0.06670283121820386,0.8477777777777777,0.09838824581005726,0.643888888888889,0.12630674986606374,0.43999999999999995,0.19367785395111933
raw,random_forest,0.8295238095238094,0.05318857906835505,0.8948949646736246,0.031225746098225045,0.8400656232582747,0.05086850400057017,0.9606944444444444,0.04198053083437371,0.822875,0.09885785173655003,0.4333333333333333,0.2092313976863362
raw,gradient_boosting,0.8161904761904764,0.0504941567307107,0.8854743688758513,0.03047513565097716,0.8372279931024881,0.04756833974545561,0.9429166666666667,0.046074491818101436,0.8115462962962962,0.09703952896503482,0.4333333333333333,0.200554786086551
raw,xgboost,0.8144444444444444,0.0532985998009398,0.8832831010230244,0.03259428958763996,0.8411735035090293,0.04488323624152721,0.9318055555555557,0.03962814227911557,0.8248240740740741,0.09916354950663304,0.45999999999999996,0.17751369274259127
scaled,naive_bayes,0.720079365079365,0.10208956318627593,0.7912754787260103,0.0837770900492392,0.8806771782235753,0.05495206340449195,0.7268055555555556,0.1216432784470972,0.7713750000000001,0.09860694229146699,0.7,0.15563490039905004
scaled,knn,0.8029365079365081,0.051954796038899895,0.8773942908400777,0.0311515132119089,0.8281633956858396,0.049874195849629696,0.93625,0.04644146222482928,0.7662083333333334,0.10334991414579771,0.4000000000000001,0.19321835661585918
scaled,decision_tree,0.7295238095238095,0.10703274765367275,0.820168074302836,0.07933663410418845,0.813680901571639,0.07339746201479526,0.8300000000000001,0.09687079341723154,0.6283333333333333,0.13467954650544967,0.42666666666666664,0.21333333333333332
scaled,random_forest,0.8161904761904764,0.05957902201232896,0.8868425943382967,0.03495245917342613,0.8329764098292513,0.05717205613872406,0.9518055555555556,0.04212731475121751,0.8158981481481481,0.10026631248364137,0.40666666666666673,0.23180451534284943
scaled,gradient_boosting,0.8211111111111112,0.058150507147242333,0.8894927632859281,0.034830986847577336,0.835327990879027,0.04990426916008095,0.9540277777777778,0.04398394242627669,0.8104629629629629,0.10093075931341743,0.42000000000000004,0.2066666666666667
scaled,xgboost,0.8094444444444445,0.04135438531988093,0.8803335432356564,0.025312530752444967,0.8368964893759296,0.04308356471046984,0.9318055555555557,0.04543365295667577,0.827675925925926,0.09564453983728433,0.44000000000000006,0.17938165396098282
scaled_feature_selection,naive_bayes,0.7702380952380953,0.10096613787667835,0.8423552647190695,0.07295342002296791,0.8627979112050023,0.06806059845264975,0.8290277777777778,0.1030560235089705,0.7783425925925926,0.11021604337582223,0.5933333333333333,0.22
scaled_feature_selection,knn,0.7686507936507936,0.08417657268662594,0.8514374362550654,0.05907725485146472,0.8162007314027819,0.043166962196307,0.8931944444444444,0.08909795292850102,0.7231203703703704,0.0988434669056656,0.39333333333333337,0.15040685563571304
scaled_feature_selection,decision_tree,0.7235714285714285,0.07160652436102286,0.8158433360964878,0.05147411701911179,0.8159698333788692,0.052853795479185985,0.8223611111111111,0.08577994114284022,0.6245138888888889,0.10382817689027399,0.42666666666666664,0.21333333333333332
scaled_feature_selection,random_forest,0.8131746031746031,0.0574706208424367,0.881971934475273,0.03677135355203116,0.8429606577521053,0.05273988984872651,0.9301388888888888,0.06568152327709827,0.7755648148148149,0.10932496807868121,0.4600000000000001,0.21592179654268862
scaled_feature_selection,gradient_boosting,0.8078571428571429,0.05821465088988588,0.879477205512749,0.03502363037091419,0.8375221790079213,0.054421069433799193,0.929861111111111,0.04991215276690799,0.7998611111111111,0.10341021010276476,0.4400000000000001,0.21746008573733452
scaled_feature_selection,xgboost,0.8048412698412699,0.06130709657701096,0.8755971414599504,0.04006234976519708,0.8407970258687477,0.046267218947944166,0.9169444444444445,0.06371292192132681,0.7971111111111111,0.1044536113655132,0.4666666666666667,0.17638342073763935
scaled_pca,naive_bayes,0.7315079365079364,0.0612984656385847,0.8270772591018369,0.03971782364702464,0.8017605680019443,0.04244048654593174,0.8566666666666668,0.05846809829743497,0.6948148148148148,0.12698292768393102,0.35333333333333333,0.1713994684290992
scaled_pca,knn,0.8063492063492064,0.05220388542835756,0.8786383496541209,0.032528777178290925,0.835640817849475,0.05961525817976963,0.9319444444444445,0.058310180590475165,0.7757453703703704,0.10102289864303071,0.42666666666666664,0.21333333333333332
scaled_pca,decision_tree,0.7214285714285713,0.06875966227711262,0.8097931433400287,0.052421177570299016,0.8294309561633437,0.05400061828311794,0.7973611111111111,0.08549612383820698,0.6453472222222223,0.09667906310201788,0.49333333333333335,0.20044395171163876
scaled_pca,random_forest,0.7743650793650794,0.04518104171676706,0.864083302712876,0.025893539999914016,0.7920874831935094,0.040934919832988664,0.9536111111111112,0.043851073723076235,0.7486435185185185,0.12300685303059218,0.2333333333333333,0.18196458751941574
scaled_pca,gradient_boosting,0.8048412698412699,0.07625034849925934,0.8770067070287233,0.04822654671712735,0.8382052921129514,0.06217908874826351,0.9234722222222222,0.06230045305306602,0.7877592592592593,0.09532755061744498,0.4466666666666666,0.23673707872752936
scaled_pca,xgboost,0.822936507936508,0.05975558051656983,0.890309893793637,0.03600638208080507,0.8394962967184281,0.0559247068697125,0.9519444444444444,0.05109978739295241,0.7994166666666667,0.08829797850202792,0.4333333333333333,0.22754730887834682
